Brand Name,Outside Model,Inside model,Furnace model,Rated heating capacity (Btu/hour),AHRI / Verification reference,Product group,AHRI Classification,Indoor type/ducting configuration
"COMFORTMAKER","N4H7T24*K*AAA*","EA*4X25L17A*","*96VTN0801716B*","24200","213167933","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH24ABK","EA*4X36L17A*","*92MSN0801716A*","26200","212984606","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH24AAK","ESH5X36M12A*","*80VSL0901716B*","20600","216738167","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H3V48*K*AAA*","EVD5X48M21A*+WALLCON","*97CTN1002122A*","52000","215941579","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH30ABK","EA*4X42L24A*","*92ESN1002120A*","34200","211712911","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH18ABK","EN(A,D)4X30L17**","*96VSN0801716B*","18000","212973706","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH24ABK","EN(A,D)4X30L17**","OMV098J12*","26000","211244823","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH24AAK","ESH5X36M12A*","*80MSU0401712A*","20800","216738204","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","N4H7T24*K*AAA*","EA*4X25L17A*","*96VTN0601716B*","24000","213167913","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH24AAK","ESH5X36M12A*","*80MSU0601716A*","20600","216738215","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H3V36*K*AAA*","EVD5X60M21A*+WALLCON","*96CTN0801714B*","38000","215936719","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH24ABK","EA*4X36L21A*","*92MSN0801716A*","26200","212984618","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H3V36*K*AAA*","EVD5X60M24A*+WALLCON","*80CTL0902120B*","38000","215936759","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH24ABK","EN(A,D)4X30L17**","*80ESU0601716A","26600","211244813","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH24AAK","ESH5X36M12A*","*80MSU0802120A*","20600","216738226","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH24ABK","EA*4X37L17A*","*92MSN0801716A*","25400","212984630","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH24AAK","ESH5X36M12A*","*80MSU1002120A*","21000","216738237","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH18ABK","EN(A,D)4X24L17**","*96VSN0801716B*","18700","212973696","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","N4H7T24*K*AAA*","EA*4X25L17A*","*96VTN0601412B*","24000","213167895","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CUHAH24AAK","ESH5X36M12A*","*80CTL0451712B*","20800","216738247","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H3V48*K*AAA*","EVD5X48M21A*+WALLCON","*96CTN0802120B*","52000","215941529","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH30ABK","EA*4X42L21A*","*80ESU0401712A*","34200","211712332","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H3V36*K*AAA*","EVD5X60M21A*+WALLCON","*96CTN1002122B*","38000","215936729","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","N4H7T24*K*AAA*","EA*4X25L17A*","*96VTN0401712B*","24200","213167879","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH30ABK","EA*4X42L24A*","*92ESN0802120A*","34200","211712899","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH24ABK","EN(A,D)4X30L17**","*80ES(N,L)0701412A*","26400","211244801","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH24ABK","EA*4X37L21A*","*92MSN0801716A*","25000","212984642","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH18ABK","EA*4X30L17A*","*96VSN0801716B*","18000","212973686","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H3V60*K*AAA*","EVD5X61M21A*+WALLCON","*97CTN1002122A*","63500","215942249","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H3V48*K*AAA*","EA*5X61M24A*+WALLCON","*97CMN0602120B*","48500","215934369","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CURAH24AAK","EA*5X36M17A*","*80CSU0601716A*","24200","216675496","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H3V48*K*AAA*","EA*5X61M21A*+WALLCON","*96CTN1002122B*","48500","215934289","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CURAH24AAK","EA*5X25M17A*","*80CSU0601716A*","23600","216675528","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H0V36*K*AAA*","ESH5X48M12A*+WALLCON","*80CTL0701412B*","35600","215670171","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H3V48*K*AAA*","ESH5X48M12A*+WALLCON","*96CTN1002122B*","48500","215934529","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H0V36*K*AAA*","ESH5X48M12A*+WALLCON","*80CTL0451712B*","35600","215670161","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H3V48*K*AAA*","ESH5X60M12A*+WALLCON","*97CTN1202422A*","48500","215941259","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH30ABK","EA*4X43L21A*","*80ESU0601716A","33400","211713398","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H0V36*K*AAA*","ESH5X60M12A*+WALLCON","*95CSU0601716B*","34800","215670481","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH30ABK","EA*4X43L21A*","*92ESN1002120A*","33600","211713362","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H0V36*K*AAA*","ESH5X48M12A*+WALLCON","*80CSU1002120A*","35400","215670151","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH30ABK","EA*4X43L21A*","*92ESN0802120A*","33600","211713350","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CURAH24AAK","EA*5X37M21A*","*80CSU0601716A*","23400","216675538","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CURAH24AAK","ESH5X36M12A*","*80CSU1002120A*","24200","216675568","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH24ABK","EA*4X36L21A*","*96VSN0802120B*","26400","212974096","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H3V36*K*AAA*","EVD5X60M24A*+WALLCON","*97CMN1202422B*","38000","215936839","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H3V48*K*AAA*","EA*5X61M21A*+WALLCON","*97CMN1002122B*","48500","215934269","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H0V36*K*AAA*","ESH5X60M12A*+WALLCON","*97CMN0602120B*","34800","215670511","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CURAH24AAK","EA*5X37M21A*","*80CSU1002120A*","23600","216675578","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H3V48*K*AAA*","ESH5X48M12A*+WALLCON","*96CTN1202422B*","48500","215934539","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH36ABK","EA*4X48L21A*","*96VSN0801716B*","37800","212974056","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CURAH24AAK","EA*5X30M14A*","*80MS(N,L)0451412A*","24200","216675658","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CURAH24AAK","EA*5X30M17A*","*80MS(N,L)0451412A*","24200","216675670","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H0V36*K*AAA*","ESH5X60M12A*+WALLCON","*97CMN0801714B*","34800","215670521","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H3V48*K*AAA*","EA*5X61M21A*+WALLCON","*97CMN0802120B*","48500","215934259","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CURAH24AAK","EA*5X25M17A*","*80MS(N,L)0451714A*","23200","216675744","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H3V36*K*AAA*","EVD5X60M24A*+WALLCON","*97CMN1002122B*","38000","215936829","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H3V48*K*AAA*","EVM5X48M21A*+WALLCON","*96CTN0802120B*","52000","215941269","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","C5H3V36*K*AAA*","EVD5X60M21A*+WALLCON","*80CTL1102120B*","38000","215936639","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","DLCURAH24ABK","EN(A,D)4X36L21**","*96VSN0801716B*","25800","212973926","ccASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CURAH24AAK","EA*5X37M21A*","*80MS(N,L)0451714A*","23000","216675754","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CURAH24AAK","EA*5X24M14A*","*80MS(N,L)0701412A*","24600","216675764","ASHP","HRCU-A-CB","Centrally ducted system"
"COMFORTMAKER","D5CURAH24AAK","EA*5X24M17A*","*80MS(N,L)0701412A*","24600","216675776","ASHP","HRCU-A-CB","Centrally ducted system"
